CATALOG	SCIENCE	OC_CONTRY	COL_DATE	INFO	LENGTH	A_LENGTH	WEIGHT	INCREMENT	CRNO	STATION	LATITUDE	LONGITUDE	
M01598	Smelanostictus	Pali	2001/4/19	SM0104060	20.97	20.97	0.0494	26	0104	P12	025.06	121.09	
M01599	Smelanostictus	Pali	2001/4/19	SM0104061	19.12	19.12	0.0409	24	0104	P12	025.06	121.09	
M01601	Smelanostictus	Pali	2001/4/19	SM0104063	20.14	20.14	0.0435	27	0104	P12	025.06	121.09	
M01602	Smelanostictus	Pali	2001/4/19	SM0104064	19.43	19.43	0.0372	24	0104	P12	025.06	121.09	
M01603	Smelanostictus	Pali	2001/4/19	SM0104065	19.82	19.82	0.0312	25	0104	P12	025.06	121.09	
M01604	Smelanostictus	Pali	2001/4/19	SM0104066	20.10	20.10	0.0480	27	0104	P12	025.06	121.09	
M01605	Smelanostictus	Pali	2001/4/19	SM0104067	21.31	21.31	0.0535	27	0104	P12	025.06	121.09	
M01606	Smelanostictus	Pali	2001/4/19	SM0104068	19.82	19.82	0.0494	27	0104	P12	025.06	121.09	
M01607	Tchefuensis	Pali	2002/3/26	TC0203001	15.78	15.78	0.0165	26	PL0203	P11	025.01	121.03	
M01608	Tchefuensis	Pali	2002/3/26	TC0203002	17.85	17.85	0.0244	29	PL0203	P11	025.01	121.03	
M01609	Tchefuensis	Pali	2002/3/26	TC0203003	16.32	16.32	0.0156	26	PL0203	P11	025.01	121.03	
M01610	Tchefuensis	Pali	2002/3/26	TC0203004	15.20	15.20	0.0126	24	PL0203	P11	025.01	121.03	
M01611	Tchefuensis	Pali	2002/3/26	TC0203005	15.88	15.88	0.0164	27	PL0203	P11	025.01	121.03	
M01612	Tchefuensis	Pali	2002/3/26	TC0203006	14.64	14.64	0.0141	25	PL0203	P11	025.01	121.03	
M01613	Tchefuensis	Pali	2002/3/26	TC0203007	17.52	17.52	0.0206	29	PL0203	P11	025.01	121.03	
M01615	Tchefuensis	Pali	2002/3/26	TC0203009	15.50	15.50	0.0159	25	PL0203	P11	025.01	121.03	
M01616	Tchefuensis	Pali	2002/3/26	TC0203010	16.61	16.61	0.0177	27	PL0203	P11	025.01	121.03	
M01617	Tchefuensis	Pali	2002/3/26	TC0203011	16.40	16.40	0.0170	28	PL0203	P11	025.01	121.03	
M01618	Tchefuensis	Pali	2002/3/26	TC0203012	15.19	15.19	0.0144	26	PL0203	P11	025.01	121.03	
M01619	Tchefuensis	Pali	2002/3/26	TC0203013	17.56	17.56	0.0223	29	PL0203	P11	025.01	121.03	
M01620	Tchefuensis	Pali	2002/3/26	TC0203014	15.83	15.83	0.0154	26	PL0203	P11	025.01	121.03	
M01621	Tchefuensis	Pali	2002/3/26	TC0203015	14.16	14.16	0.0102	23	PL0203	P11	025.01	121.03	
M01622	Tchefuensis	Pali	2002/3/26	TC0203016	14.94	14.94	0.0131	25	PL0203	P11	025.01	121.03	
M01623	Tchefuensis	Pali	2002/3/26	TC0203017	14.98	14.98	0.0117	27	PL0203	P11	025.01	121.03	
M01627	Tchefuensis	Hsinchu	2002/3/26	TC0203021	16.89	16.89	0.0180	29	HC0203	K11	024.49	120.55	
M01629	Tchefuensis	Hsinchu	2002/3/26	TC0203023	16.43	16.43	0.0199	28	HC0203	K11	024.49	120.55	
M01630	Tchefuensis	Hsinchu	2002/3/26	TC0203024	15.79	15.79	0.0170	28	HC0203	K11	024.49	120.55	
M01632	Tchefuensis	Hsinchu	2002/3/26	TC0203026	17.62	17.62	0.0204	29	HC0203	K11	024.49	120.55	
M01635	Tchefuensis	Hsinchu	2002/3/26	TC0203029	16.10	16.10	0.0162	27	HC0203	K11	024.49	120.55	
M01636	Tchefuensis	Hsinchu	2002/3/26	TC0203030	16.34	16.34	0.0184	27	HC0203	K11	024.49	120.55	
M01637	Tchefuensis	Hsinchu	2002/3/26	TC0203031	15.54	15.54	0.0130	25	HC0203	K11	024.49	120.55	
M01638	Tchefuensis	Hsinchu	2002/3/26	TC0203032	17.55	17.55	0.0209	29	HC0203	K11	024.49	120.55	
M01640	Tchefuensis	Hsinchu	2002/3/26	TC0203034	16.12	16.12	0.0162	26	HC0203	K11	024.49	120.55	
M01643	Tchefuensis	Hsinchu	2002/3/26	TC0203037	16.32	16.32	0.0199	29	HC0203	K11	024.49	120.55	
M01645	Tchefuensis	Hsinchu	2002/3/26	TC0203039	13.92	13.92	0.0104	24	HC0203	K11	024.49	120.55	
M01646	Tchefuensis	Hsinchu	2002/3/26	TC0203040	17.43	17.43	0.0200	26	HC0203	K11	024.49	120.55	
M01647	Tchefuensis	Hsinchu	2002/3/26	TC0203041	16.76	16.76	0.0164	27	HC0203	K11	024.49	120.55	
M01648	Tdussumieri	Pali	2002/3/26	TD0203001	13.40	13.40	0.0071	17	PL0203	P11	025.01	121.03	
M01649	Tdussumieri	Pali	2002/3/26	TD0203002	15.67	15.67	0.0131	27	PL0203	P11	025.01	121.03	
M01650	Tdussumieri	Pali	2002/3/26	TD0203003	15.22	15.22	0.0141	25	PL0203	P11	025.01	121.03	
M01651	Tdussumieri	Pali	2002/3/26	TD0203004	14.83	14.83	0.0112	24	PL0203	P11	025.01	121.03	
M01652	Tdussumieri	Pali	2002/3/26	TD0203005	13.53	13.53	0.0094	22	PL0203	P11	025.01	121.03	
M01653	Tdussumieri	Pali	2002/3/26	TD0203006	13.33	13.33	0.0086	21	PL0203	P11	025.01	121.03	
M01654	Tdussumieri	Pali	2002/3/26	TD0203007	14.98	14.98	0.0123	25	PL0203	P11	025.01	121.03	
M01655	Tdussumieri	Pali	2002/3/26	TD0203008	13.55	13.55	0.0106	22	PL0203	P11	025.01	121.03	
M01656	Tdussumieri	Pali	2002/3/26	TD0203009	13.55	13.55	0.0093	20	PL0203	P11	025.01	121.03	
M01657	Tdussumieri	Pali	2002/3/26	TD0203010	11.87	11.87	0.0063	19	PL0203	P11	025.01	121.03	
M01658	Tdussumieri	Pali	2002/3/26	TD0203011	14.04	14.04	0.0129	24	PL0203	P11	025.01	121.03	
M01659	Tdussumieri	Pali	2002/3/26	TD0203012	14.51	14.51	0.0103	22	PL0203	P11	025.01	121.03	
M01660	Tdussumieri	Pali	2002/3/26	TD0203013	13.35	13.35	0.0088	19	PL0203	P11	025.01	121.03	
M01661	Tdussumieri	Hsinchu	2002/3/26	TD0203014	15.46	15.46	0.0129	25	HC0203	K11	024.49	120.55	
M01662	Tdussumieri	Hsinchu	2002/3/26	TD0203015	14.28	14.28	0.0131	25	HC0203	K11	024.49	120.55	
M01663	Tdussumieri	Hsinchu	2002/3/26	TD0203016	13.95	13.95	0.0095	21	HC0203	K11	024.49	120.55	
M01664	Tdussumieri	Hsinchu	2002/3/26	TD0203017	14.73	14.73	0.0125	24	HC0203	K11	024.49	120.55	
M01665	Tdussumieri	Hsinchu	2002/3/26	TD0203018	16.46	16.46	0.0162	27	HC0203	K11	024.49	120.55	
M01666	Tdussumieri	Hsinchu	2002/3/26	TD0203019	13.19	13.19	0.0083	20	HC0203	K11	024.49	120.55	
M01667	Tdussumieri	Hsinchu	2002/3/26	TD0203020	14.70	14.70	0.0124	24	HC0203	K11	024.49	120.55	
M01668	Tchefuensis	Pali	2002/4/2	TC0204001	17.39	17.39	0.0200	29	PL0204	P11	025.01	121.03	
M01671	Tchefuensis	Pali	2002/4/2	TC0204004	15.97	15.97	0.0170	28	PL0204	P11	025.01	121.03	
M01672	Tchefuensis	Pali	2002/4/2	TC0204005	15.94	15.94	0.0154	28	PL0204	P11	025.01	121.03	
M01673	Tchefuensis	Pali	2002/4/2	TC0204006	15.50	15.50	0.0121	27	PL0204	P11	025.01	121.03	
M01674	Tchefuensis	Pali	2002/4/2	TC0204007	14.81	14.81	0.0115	25	PL0204	P11	025.01	121.03	
M01675	Tchefuensis	Pali	2002/4/2	TC0204008	13.67	13.67	0.0175	24	PL0204	P11	025.01	121.03	
M01677	Tchefuensis	Pali	2002/4/2	TC0204010	16.09	16.09	0.0153	29	PL0204	P11	025.01	121.03	
M01678	Tchefuensis	Pali	2002/4/2	TC0204011	15.45	15.45	0.0115	24	PL0204	P11	025.01	121.03	
M01680	Tchefuensis	Pali	2002/4/2	TC0204013	16.37	16.37	0.0185	28	PL0204	P11	025.01	121.03	
M01683	Tchefuensis	Pali	2002/4/2	TC0204016	16.37	16.37	0.0185	28	PL0204	P11	025.01	121.03	
M01685	Tchefuensis	Pali	2002/4/2	TC0204018	15.43	15.43	0.0159	26	PL0204	P11	025.01	121.03	
M01686	Tchefuensis	Pali	2002/4/6	TC0204019	15.23	15.23	0.0140	27	PL0204	P11	025.01	121.03	
M01688	Tchefuensis	Pali	2002/4/6	TC0204021	15.72	15.72	0.0162	26	PL0204	P11	025.01	121.03	
M01689	Tchefuensis	Pali	2002/4/6	TC0204022	15.84	15.84	0.0123	25	PL0204	P11	025.01	121.03	
M01691	Tchefuensis	Pali	2002/4/6	TC0204024	16.86	16.86	0.0190	27	PL0204	P11	025.01	121.03	
M01692	Tchefuensis	Pali	2002/4/6	TC0204025	17.46	17.46	0.0216	29	PL0204	P11	025.01	121.03	
M01693	Tchefuensis	Pali	2002/4/6	TC0204026	16.32	16.32	0.0166	29	PL0204	P11	025.01	121.03	
M01694	Tchefuensis	Pali	2002/4/6	TC0204027	16.36	16.36	0.0176	27	PL0204	P11	025.01	121.03	
M01696	Tchefuensis	Pali	2002/4/6	TC0204029	16.35	16.35	0.0177	26	PL0204	P11	025.01	121.03	
M01697	Tchefuensis	Pali	2002/4/6	TC0204030	15.69	15.69	0.0151	24	PL0204	P11	025.01	121.03	
M01701	Tdussumieri	Pali	2002/4/2	TD0204004	16.38	16.38	0.0132	28	PL0204	P11	025.01	121.03	
M01702	Tdussumieri	Pali	2002/4/2	TD0204005	16.45	16.45	0.0135	28	PL0204	P11	025.01	121.03	
M01704	Tdussumieri	Pali	2002/4/2	TD0204007	16.13	16.13	0.0150	25	PL0204	P11	025.01	121.03	
M01705	Tdussumieri	Pali	2002/4/2	TD0204008	14.61	14.61	0.0105	26	PL0204	P11	025.01	121.03	
M01709	Tdussumieri	Pali	2002/4/2	TD0204012	15.47	15.47	0.0132	28	PL0204	P11	025.01	121.03	
M01711	Tdussumieri	Pali	2002/4/2	TD0204014	16.99	16.99	0.0188	29	PL0204	P11	025.01	121.03	
M01713	Tdussumieri	Pali	2002/4/2	TD0204016	17.58	17.58	0.0202	28	PL0204	P11	025.01	121.03	
M01714	Tdussumieri	Pali	2002/4/6	TD0204017	15.49	15.49	0.0124	26	PL0204	P11	025.01	121.03	
M01715	Tdussumieri	Pali	2002/4/6	TD0204018	16.76	16.76	0.0170	28	PL0204	P11	025.01	121.03	
M01716	Tdussumieri	Pali	2002/4/6	TD0204019	15.94	15.94	0.0179	29	PL0204	P11	025.01	121.03	
M01717	Tdussumieri	Pali	2002/4/6	TD0204020	14.19	14.19	0.0082	21	PL0204	P11	025.01	121.03	
M01718	Tdussumieri	Pali	2002/4/6	TD0204021	14.05	14.05	0.0119	26	PL0204	P11	025.01	121.03	
M01719	Tdussumieri	Pali	2002/4/6	TD0204022	13.59	13.59	0.0105	25	PL0204	P11	025.01	121.03	
M01720	Tdussumieri	Pali	2002/4/6	TD0204023	15.66	15.66	0.0143	27	PL0204	P11	025.01	121.03	
M01722	Tdussumieri	Hsinchu	2002/4/19	TD0204025	16.38	16.38	0.0186	27	HC0204	K11	024.49	120.55	
M01724	Tchefuensis	Pali	2002/4/6	TC0204031	16.35	16.35	0.0158	27	PL0204	P11	025.01	121.03	
M01725	Tchefuensis	Pali	2002/4/6	TC0204032	15.21	15.21	0.0115	27	PL0204	P11	025.01	121.03	
M01726	Tchefuensis	Pali	2002/4/6	TC0204033	15.59	15.59	0.0148	26	PL0204	P11	025.01	121.03	
M01727	Tchefuensis	Pali	2002/4/6	TC0204034	16.57	16.57	0.0181	28	PL0204	P11	025.01	121.03	
M01729	Tchefuensis	Pali	2002/4/6	TC0204036	16.43	16.43	0.0162	27	PL0204	P11	025.01	121.03	
M01731	Tchefuensis	Pali	2002/4/6	TC0204038	16.43	16.43	0.0189	27	PL0204	P11	025.01	121.03	
M01732	Tchefuensis	Pali	2002/4/6	TC0204039	14.49	14.49	0.0127	26	PL0204	P11	025.01	121.03	
M01733	Tchefuensis	Pali	2002/4/6	TC0204040	15.63	15.63	0.0155	28	PL0204	P11	025.01	121.03	
M01734	Tchefuensis	Pali	2002/4/6	TC0204041	16.77	16.77	0.0167	27	PL0204	P11	025.01	121.03	
M01736	Tchefuensis	Hsinchu	2002/4/19	TC0204043	15.48	15.48	0.0156	25	HC0204	K11	024.49	120.55	
M01739	Tchefuensis	Hsinchu	2002/4/19	TC0204046	17.63	17.63	0.0246	29	HC0204	K11	024.49	120.55	
M01742	Tchefuensis	Hsinchu	2002/4/19	TC0204049	17.03	17.03	0.0235	28	HC0204	K11	024.49	120.55	
M01754	Tchefuensis	Hsinchu	2002/4/19	TC0204061	17.12	17.12	0.0241	29	HC0204	K11	024.49	120.55	
M01755	Tchefuensis	Hsinchu	2002/4/19	TC0204062	16.46	16.46	0.0210	28	HC0204	K11	024.49	120.55	
M01756	Tchefuensis	Hsinchu	2002/4/19	TC0204063	17.24	17.24	0.0254	29	HC0204	K11	024.49	120.55	
M01761	Tchefuensis	Hsinchu	2002/4/19	TC0204068	18.47	18.47	0.0285	29	HC0204	K11	024.49	120.55	
M01763	Tchefuensis	Hsinchu	2002/4/19	TC0204070	16.24	16.24	0.0186	28	HC0204	K11	024.49	120.55	
M01771	Tchefuensis	Pali	2002/5/20	TC0205008	16.70	16.70	0.0158	29	PL0205	P12	025.10	121.22	
M01772	Tchefuensis	Pali	2002/5/20	TC0205009	12.26	12.26	0.0056	19	PL0205	P12	025.10	121.22	
M01775	Tdussumieri	Pali	2002/5/14	TD0205003	15.97	15.97	0.0151	26	PL0205	P13	025.09	121.22	
M01777	Tdussumieri	Pali	2002/5/14	TD0205005	16.22	16.22	0.0150	26	PL0205	P13	025.09	121.22	
M01781	Tdussumieri	Pali	2002/5/14	TD0205009	16.34	16.34	0.0194	29	PL0205	P13	025.09	121.22	
M01784	Tdussumieri	Pali	2002/5/14	TD0205012	15.87	15.87	0.0142	29	PL0205	P13	025.09	121.22	
M01785	Tdussumieri	Pali	2002/5/14	TD0205013	16.41	16.41	0.0140	29	PL0205	P13	025.09	121.22	
M01786	Tdussumieri	Pali	2002/5/14	TD0205014	15.21	15.21	0.0156	28	PL0205	P13	025.09	121.22	
M01787	Tdussumieri	Pali	2002/5/14	TD0205015	15.68	15.68	0.0130	27	PL0205	P13	025.09	121.22	
M01790	Tdussumieri	Pali	2002/5/20	TD0205018	13.51	13.51	0.0092	24	PL0205	P12	025.10	121.22	
M01791	Tdussumieri	Pali	2002/5/20	TD0205019	17.21	17.21	0.0203	29	PL0205	P12	025.10	121.22	
M01792	Tdussumieri	Pali	2002/5/20	TD0205020	13.59	13.59	0.0076	23	PL0205	P12	025.10	121.22	
M01794	Tdussumieri	Pali	2002/5/20	TD0205022	16.76	16.76	0.0152	29	PL0205	P12	025.10	121.22	
M01795	Tdussumieri	Pali	2002/5/20	TD0205023	14.38	14.38	0.0109	25	PL0205	P12	025.10	121.22	
M01797	Tdussumieri	Pali	2002/5/20	TD0205025	14.39	14.39	0.0105	25	PL0205	P12	025.10	121.22	
M01798	Tdussumieri	Pali	2002/5/20	TD0205026	15.94	15.94	0.0121	29	PL0205	P12	025.10	121.22	
M01800	Tdussumieri	Pali	2002/5/20	TD0205028	14.63	14.63	0.0113	27	PL0205	P12	025.10	121.22	
M01801	Tdussumieri	Pali	2002/5/20	TD0205029	16.30	16.30	0.0157	29	PL0205	P12	025.10	121.22	
M01803	Tdussumieri	Pali	2002/5/20	TD0205031	16.53	16.53	0.0148	29	PL0205	P12	025.10	121.22	
M01804	Tdussumieri	Pali	2002/5/20	TD0205032	14.38	14.38	0.0101	26	PL0205	P12	025.10	121.22	
M01805	Tdussumieri	Pali	2002/5/20	TD0205033	14.97	14.97	0.0112	28	PL0205	P12	025.10	121.22	
M01806	Tdussumieri	Pali	2002/5/20	TD0205034	16.36	16.36	0.0142	29	PL0205	P12	025.10	121.22	
M01807	Tdussumieri	Pali	2002/5/20	TD0205035	13.03	13.03	0.0066	20	PL0205	P12	025.10	121.22	
M01808	Tdussumieri	Pali	2002/5/20	TD0205036	15.06	15.06	0.0138	29	PL0205	P12	025.10	121.22	
M01811	Tdussumieri	Pali	2002/5/20	TD0205039	14.92	14.92	0.0103	26	PL0205	P12	025.10	121.22	
M01812	Tdussumieri	Pali	2002/5/20	TD0205040	14.20	14.20	0.0095	24	PL0205	P12	025.10	121.22	
M01813	Epunctifer	NorthernTaiwan	2002/4/22	EP0204001	22.54	22.54	0.0463	26	845T	A	025.10	122.00	
M01814	Epunctifer	NorthernTaiwan	2002/4/22	EP0204002	20.42	20.42	0.0254	19	845T	A	025.10	122.00	
M01816	Epunctifer	NorthernTaiwan	2002/4/22	EP0204004	14.51	14.51	0.0046	9	845T	A	025.10	122.00	
M01817	Epunctifer	NorthernTaiwan	2002/4/22	EP0204005	14.38	14.38	0.0042	10	845T	A	025.10	122.00	
M01818	Epunctifer	NorthernTaiwan	2002/4/22	EP0204006	14.59	14.59	0.0053	10	845T	A	025.10	122.00	
M01819	Epunctifer	NorthernTaiwan	2002/4/22	EP0204007	14.80	14.80	0.0057	13	845T	A	025.10	122.00	
M01820	Epunctifer	NorthernTaiwan	2002/4/22	EP0204008	16.14	16.14	0.0071	13	845T	A	025.10	122.00	
M01821	Epunctifer	NorthernTaiwan	2002/4/23	EP0204009	13.61	13.61	0.0075	15	845T	B	025.20	122.00	
M01822	Epunctifer	NorthernTaiwan	2002/4/23	EP0204010	16.00	16.00	0.0133	17	845T	B	025.20	122.00	
M01823	Epunctifer	NorthernTaiwan	2002/4/23	EP0204011	19.65	19.65	0.0151	18	845T	C	025.35	122.00	
M01824	Epunctifer	TaiwanStrait	2002/4/23	EP0204012	8.51	8.51	0.0011	3	845T	027	025.32	121.07	
M01825	Epunctifer	TaiwanStrait	2001/8/22	EP0108001	11.69	11.69	0.0035	8	804T	15I	024.28	120.12	
M01826	Epunctifer	TaiwanStrait	2001/8/22	EP0108002	13.67	13.67	0.0072	12	804T	15I	024.28	120.12	
M01827	Epunctifer	TaiwanStrait	2001/8/22	EP0108003	14.00	14.00	0.0084	13	804T	15I	024.28	120.12	
M01828	Epunctifer	TaiwanStrait	2001/8/22	EP0108004	12.46	12.46	0.0070	12	804T	15I	024.28	120.12	
M01829	Epunctifer	TaiwanStrait	2001/8/22	EP0108005	19.53	19.53	0.0223	24	804T	15I	024.28	120.12	
M01830	Epunctifer	TaiwanStrait	2001/8/22	EP0108006	11.18	11.18	0.0030	8	804T	15I	024.28	120.12	
M01831	Epunctifer	TaiwanStrait	2001/8/22	EP0108007	11.38	11.38	0.0022	9	804T	15I	024.28	120.12	
M01832	Epunctifer	TaiwanStrait	2001/8/22	EP0108008	14.55	14.55	0.0074	16	804T	15I	024.28	120.12	
M01833	Epunctifer	TaiwanStrait	2001/8/22	EP0108009	18.27	18.27	0.0196	20	804T	15I	024.28	120.12	
M01834	Epunctifer	TaiwanStrait	2001/8/22	EP0108010	16.30	16.30	0.0141	19	804T	15I	024.28	120.12	
M01835	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204001	10.91	10.91	0.0027	6	845T	023	026.02	120.16	
M01836	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204002	11.79	11.79	0.0036	8	845T	023	026.02	120.16	
M01837	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204003	12.54	12.54	0.0040	8	845T	022	026.10	120.03	
M01838	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204004	10.55	10.55	0.0021	6	845T	022	026.10	120.03	
M01839	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204005	13.67	13.67	0.0045	10	845T	022	026.10	120.03	
M01840	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204006	12.73	12.73	0.0042	10	845T	022	026.10	120.03	
M01841	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204007	11.83	11.83	0.0028	8	845T	022	026.10	120.03	
M01842	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204008	13.91	13.91	0.0045	10	845T	022	026.10	120.03	
M01843	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204009	15.06	15.06	0.0050	11	845T	022	026.10	120.03	
M01844	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204010	22.23	22.23	0.0323	20	845T	022	026.10	120.03	
M01845	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204011	12.10	12.10	0.0036	9	845T	022	026.10	120.03	
M01846	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204012	14.16	14.16	0.0051	10	845T	022	026.10	120.03	
M01847	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204013	13.26	13.26	0.0044	10	845T	022	026.10	120.03	
M01848	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204014	10.59	10.59	0.0019	7	845T	022	026.10	120.03	
M01849	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204015	7.84	7.84	0.0015	3	845T	022	026.10	120.03	
M01850	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204016	13.14	13.14	0.0047	10	845T	022	026.10	120.03	
M01851	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204017	13.14	13.14	0.0034	10	845T	022	026.10	120.03	
M01852	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204018	13.07	13.07	0.0053	9	845T	022	026.10	120.03	
M01853	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204019	11.85	11.85	0.0032	8	845T	022	026.10	120.03	
M01854	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204020	10.90	10.90	0.0028	6	845T	022	026.10	120.03	
M01855	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204021	13.74	13.74	0.0050	10	845T	022	026.10	120.03	
M01856	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204022	11.82	11.82	0.0034	8	845T	022	026.10	120.03	
M01857	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204023	10.61	10.61	0.0023	9	845T	022	026.10	120.03	
M01858	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204024	11.71	11.71	0.0026	8	845T	022	026.10	120.03	
M01859	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204025	15.88	15.88	0.0073	11	845T	022	026.10	120.03	
M01860	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204026	11.79	11.79	0.0032	8	845T	022	026.10	120.03	
M01861	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204027	22.21	22.21	0.0290	20	845T	022	026.10	120.03	
M01862	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204028	13.43	13.43	0.0048	10	845T	022	026.10	120.03	
M01863	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204029	12.78	12.78	0.0064	10	845T	022	026.10	120.03	
M01864	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204030	13.97	13.97	0.0052	10	845T	022	026.10	120.03	
M01865	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204031	12.70	12.70	0.0029	8	845T	022	026.10	120.03	
M01866	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204032	14.42	14.42	0.0063	10	845T	022	026.10	120.03	
M01867	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204033	16.78	16.78	0.0082	12	845T	022	026.10	120.03	
M01868	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204034	12.02	12.02	0.0032	7	845T	022	026.10	120.03	
M01869	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204035	14.25	14.25	0.0055	11	845T	022	026.10	120.03	
M01870	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204036	12.56	12.56	0.0050	10	845T	022	026.10	120.03	
M01871	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204037	13.85	13.85	0.0053	10	845T	022	026.10	120.03	
M01872	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204038	13.94	13.94	0.0049	10	845T	022	026.10	120.03	
M01873	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204039	12.45	12.45	0.0033	9	845T	022	026.10	120.03	
M01874	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204040	14.32	14.32	0.0054	11	845T	022	026.10	120.03	
M01875	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204041	12.65	12.65	0.0038	9	845T	022	026.10	120.03	
M01876	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204042	14.01	14.01	0.0066	11	845T	022	026.10	120.03	
M01877	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204043	12.18	12.18	0.0045	10	845T	022	026.10	120.03	
M01878	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204044	13.01	13.01	0.0037	9	845T	022	026.10	120.03	
M01879	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204045	11.30	11.30	0.0032	7	845T	022	026.10	120.03	
M01880	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204046	14.50	14.50	0.0042	9	845T	022	026.10	120.03	
M01881	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204047	12.38	12.38	0.0034	8	845T	022	026.10	120.03	
M01882	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204048	12.49	12.49	0.0044	9	845T	022	026.10	120.03	
M01883	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204049	12.44	12.44	0.0037	8	845T	022	026.10	120.03	
M01884	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204050	12.99	12.99	0.0043	11	845T	022	026.10	120.03	
M01885	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204051	12.26	12.26	0.0031	8	845T	022	026.10	120.03	
M01886	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204052	14.36	14.36	0.0045	11	845T	022	026.10	120.03	
M01887	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204053	13.84	13.84	0.0038	9	845T	022	026.10	120.03	
M01888	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204054	13.17	13.17	0.0040	10	845T	022	026.10	120.03	
M01889	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204055	10.90	10.90	0.0023	7	845T	022	026.10	120.03	
M01890	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204056	12.50	12.50	0.0039	8	845T	022	026.10	120.03	
M01891	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204057	11.47	11.47	0.0022	7	845T	022	026.10	120.03	
M01892	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204058	11.91	11.91	0.0033	8	845T	022	026.10	120.03	
M01893	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204059	11.79	11.79	0.0035	8	845T	022	026.10	120.03	
M01894	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204060	10.25	10.25	0.0017	6	845T	022	026.10	120.03	
M01895	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204061	10.41	10.41	0.0026	6	845T	022	026.10	120.03	
M01896	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204062	9.98	9.98	0.0025	6	845T	022	026.10	120.03	
M01897	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204063	10.12	10.12	0.0017	5	845T	022	026.10	120.03	
M01898	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204064	11.68	11.68	0.0022	6	845T	022	026.10	120.03	
M01899	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204065	10.99	10.99	0.0024	6	845T	022	026.10	120.03	
M01900	Ejaponicus	TaiwanStrait	2002/4/23	EJ0204066	10.59	10.59	0.0019	6	845T	022	026.10	120.03	
