"ID" "TLength" "Age" "s1_T_wgt" "s1_T_egg" "s1_N" "s1_Tin2" "s2_T_wgt" "s2_T_egg" "s2_N" "s2_Tin2" "stock" "y" "eggwgt1" "eggwgt2"
"103" 103 625 9 996.26 1014.86 18 996.67 1019.06 1050.85 31 1019.28 "SB" 1 1.01055555555556 1.01838709677419
"104" 104 700 12 971.66 990.12 21 972.2 995.87 1018.9 27 996.14 "SB" 1 0.853333333333331 0.842962962962963
"105" 105 643 10 989.92 1020.96 31 990.35 978.91 1004.02 25 979.21 "SB" 1 0.98741935483871 0.992399999999998
"106" 106 610 6 1006.36 1030.34 24 1006.86 1007.73 1034.8 27 1008 "SB" 1 0.97833333333333 0.99259259259259
"107" 107 555 7 988.83 1012.01 26 989 1028.86 1049.03 23 1029.04 "SB" 1 0.885 0.869130434782609
"108" 108 570 5 1011.46 1038.33 24 1011.79 982.05 1018.06 32 982.68 "SB" 1 1.10583333333333 1.105625
"109" 109 715 15 998.79 1024.99 24 998.9 964.61 1002.3 34 964.84 "SB" 1 1.08708333333333 1.10176470588235
"110" 110 691 8 987.2 1009.45 24 987.61 998.38 1030.02 34 998.58 "SB" 1 0.910000000000001 0.92470588235294
"111" 111 520 5 1013.02 1029.82 19 1013.39 1019.83 1041.2 24 1020.41 "SB" 1 0.86473684210526 0.866250000000003
"112" 112 550 6 1009.96 1041.18 33 1009.92 1011.56 1035.75 26 1011.83 "SB" 1 0.94727272727273 0.919999999999998
"113" 113 650 10 961.57 985.66 26 961.84 1002.75 1029.35 29 1002.98 "SB" 1 0.916153846153844 0.909310344827582
"114" 114 680 11 1000.09 1022.54 23 1000.16 1011.66 1030.19 19 1011.8 "SB" 1 0.97304347826087 0.96789473684211
"115" 115 638 9 1016.6 1041.88 24 1016.8 1015.06 1043.37 27 1015.35 "SB" 1 1.04500000000001 1.03777777777777
"116" 116 510 4 992.63 1019.04 26 992.85 989.86 1009.88 20 989.92 "SB" 1 1.00730769230769 0.998000000000002
"117" 117 615 9 984.61 1002.58 21 984.87 956.45 975.99 23 956.68 "SB" 1 0.843333333333335 0.839565217391307
"118" 118 699 10 972.11 1001.07 23 972.4 976.28 1000.25 20 976.26 "SB" 1 1.24652173913044 1.1995
"119" 119 555 5 998.88 1025.49 29 998.96 990.3 1009.51 21 990.45 "SB" 1 0.914827586206896 0.907619047619045
"120" 120 532 5 1011.31 1039.39 31 1011.67 1031.62 1055.18 26 1031.81 "SB" 1 0.894193548387101 0.898846153846158
"121" 121 571 7 1032.97 1062.97 25 1033.33 1004.06 1037.56 28 1004.44 "SB" 1 1.1856 1.18285714285714
"122" 122 677 10 979.58 996.11 18 979.86 1039.14 1062.83 26 1039.35 "SB" 1 0.902777777777778 0.903076923076924
"123" 123 535 5 1035.07 1064.35 29 1035.42 975.02 999.15 24 975.3 "SB" 1 0.997586206896546 0.99375
"124" 124 681 12 1003.23 1024.82 25 1003.31 996.78 1015.22 21 996.94 "SB" 1 0.8604 0.87047619047619
"125" 125 552 5 1021.3 1053.1 34 1021.42 994.33 1014.91 22 994.42 "SB" 1 0.931764705882352 0.931363636363637
"126" 126 550 6 997.82 1020.92 26 998.11 1001.4 1019.07 20 1001.62 "SB" 1 0.87730769230769 0.872500000000002
"127" 127 600 8 1021.86 1056.42 42 1023.27 992.88 1023.72 38 993.33 "SB" 1 0.789285714285716 0.799736842105263
