catnum	length							
P04668	23.8							
P04668	23.9							
P04668	21							
P04668	27.3							
P04668	22.7							
P04668	26.4							
P04668	27.1							
P04668	23.6							
P04668	17.3							
P04668	20.6							
P04668	25.2							
P04668	22.6							
P04668	19.6							
P04668	23.2							
P04668	21.4							
P04668	24.9							
P04668	20.8							
P04668	22.9							
P04668	25.2							
P04668	22.9							
P04668	21.4							
P04668	20.2							
P04668	20.8							
P04668	12.9							
P04668	24							
P04668	27.6							
P04668	22.9							
P04668	20.7							
P04668	21.8							
P04668	21.7							
P04668	20.9							
P04668	25.3							
P04668	22.7							
P04668	23.4							
P04668	25.8							
P04668	19.5							
P04668	19.5							
P04668	15.4							
P04668	25.6							
P04668	23.2							
P04668	23.1							
P04668	26.6							
P04668	19.1							
P04668	26.1							
P04668	28.3							
P04668	14.9							
P04668	18.9							
P04668	22.2							
P04668	25.7							
P04668	21.2							
P04668	24.7							
P04668	24							
P04668	21							
P04668	21.3							
P04668	24.1							
P04668	22.7							
P04668	20.1							
P04668	23.5							
P04668	22.7							
P04668	25.2							
P04668	21.8							
P04668	27.2							
P04668	23.2							
P04668	20.8							
P04668	19.3							
P04668	27.3							
P04668	17.2							
P04668	13.5							
P04668	18.2							
P04668	24.2							
P04668	30.1							
P04668	18.9							
P04668	20.1							
P04766	31.9							
P04766	27.6							
P04766	19.7							
P04766	20							
P04766	18.9							
P04766	28.1							
P04766	25							
P04766	20.8							
P04766	19.1							
P04766	31.6							
P04766	18.8							
P04766	17.8							
P04766	23.8							
P04766	19							
P04766	19.1							
P04766	18.2							
P04766	22.6							
P04766	23.7							
P04766	16.1							
P04766	19.5							
P04766	25.2							
P04766	27.4							
P04766	25.7							
P04766	18.7							
P04766	20.2							
P04766	26							
P04766	24.3							
P04766	18.1							
P04766	22.9							
P04766	19.7							
P04766	20.7							
P04766	18.2							
P04766	25.1							
P04766	18.5							
P04766	16.6							
P04766	22.3							
P04766	19.5							
P04766	20.8							
P04766	15.1							
P04766	13.2							
P04766	26							
P04766	23.4							
P04766	26							
P04766	24.1							
P04766	27.6							
P04766	17.2							
P04766	22.7							
P04766	23.3							
P04766	22.7							
P04766	23.2							
P04766	20.2							
P04766	19.6							
P04766	19.6							
P04766	23.6							
P04766	24.9							
P04766	19.9							
P04766	26.4							
P04766	26.4							
P04766	16.3							
P04766	18.4							
P04766	23.2							
P04766	27.6							
P04766	15.3							
P04766	19.7							
P04766	19.9							
P04766	23.4							
P04766	23.4							
P04766	27.5							
P04766	15.2							
P04766	18.1							
P04766	21.8							
P04766	21.9							
P04766	23.6							
P04766	24.9							
P04766	21.1							
P04766	19.2							
P04766	20.3							
P04766	29.2							
P04766	17.1							
P04766	18.2							
P04766	21.4							
P04766	25.3							
P04766	24.4							
